"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","1956-01",0.1143947,
"CHE","CPI","TOT","AGRWTH","M","1956-02",0.6964108,
"CHE","CPI","TOT","AGRWTH","M","1956-03",1.107152,
"CHE","CPI","TOT","AGRWTH","M","1956-04",0.8729277,
"CHE","CPI","TOT","AGRWTH","M","1956-05",1.568104,
"CHE","CPI","TOT","AGRWTH","M","1956-06",1.797024,
"CHE","CPI","TOT","AGRWTH","M","1956-07",1.857007,
"CHE","CPI","TOT","AGRWTH","M","1956-08",1.966826,
"CHE","CPI","TOT","AGRWTH","M","1956-09",1.967263,
"CHE","CPI","TOT","AGRWTH","M","1956-10",1.903173,
"CHE","CPI","TOT","AGRWTH","M","1956-11",2.075207,
"CHE","CPI","TOT","AGRWTH","M","1956-12",2.188814,
"CHE","CPI","TOT","AGRWTH","M","1957-01",2.609027,
"CHE","CPI","TOT","AGRWTH","M","1957-02",2.196383,
"CHE","CPI","TOT","AGRWTH","M","1957-03",1.614125,
"CHE","CPI","TOT","AGRWTH","M","1957-04",2.13307,
"CHE","CPI","TOT","AGRWTH","M","1957-05",1.712933,
"CHE","CPI","TOT","AGRWTH","M","1957-06",1.540422,
"CHE","CPI","TOT","AGRWTH","M","1957-07",1.650943,
"CHE","CPI","TOT","AGRWTH","M","1957-08",1.872925,
"CHE","CPI","TOT","AGRWTH","M","1957-09",1.925584,
"CHE","CPI","TOT","AGRWTH","M","1957-10",2.150378,
"CHE","CPI","TOT","AGRWTH","M","1957-11",2.144315,
"CHE","CPI","TOT","AGRWTH","M","1957-12",2.030758,
"CHE","CPI","TOT","AGRWTH","M","1958-01",1.919079,
"CHE","CPI","TOT","AGRWTH","M","1958-02",2.093404,
"CHE","CPI","TOT","AGRWTH","M","1958-03",2.382728,
"CHE","CPI","TOT","AGRWTH","M","1958-04",2.151696,
"CHE","CPI","TOT","AGRWTH","M","1958-05",2.396868,
"CHE","CPI","TOT","AGRWTH","M","1958-06",2.413997,
"CHE","CPI","TOT","AGRWTH","M","1958-07",2.183921,
"CHE","CPI","TOT","AGRWTH","M","1958-08",1.728621,
"CHE","CPI","TOT","AGRWTH","M","1958-09",1.666301,
"CHE","CPI","TOT","AGRWTH","M","1958-10",1.27472,
"CHE","CPI","TOT","AGRWTH","M","1958-11",1.049649,
"CHE","CPI","TOT","AGRWTH","M","1958-12",0.8862092,
"CHE","CPI","TOT","AGRWTH","M","1959-01",0.5535929,
"CHE","CPI","TOT","AGRWTH","M","1959-02",0.2185235,
"CHE","CPI","TOT","AGRWTH","M","1959-03",0.05463088,
"CHE","CPI","TOT","AGRWTH","M","1959-04",-0.44383,
"CHE","CPI","TOT","AGRWTH","M","1959-05",-1.190219,
"CHE","CPI","TOT","AGRWTH","M","1959-06",-1.369567,
"CHE","CPI","TOT","AGRWTH","M","1959-07",-1.369567,
"CHE","CPI","TOT","AGRWTH","M","1959-08",-1.152032,
"CHE","CPI","TOT","AGRWTH","M","1959-09",-0.9812379,
"CHE","CPI","TOT","AGRWTH","M","1959-10",-0.7659942,
"CHE","CPI","TOT","AGRWTH","M","1959-11",-0.711667,
"CHE","CPI","TOT","AGRWTH","M","1959-12",-0.6048169,
"CHE","CPI","TOT","AGRWTH","M","1960-01",-0.2752725,
"CHE","CPI","TOT","AGRWTH","M","1960-02",0.5560199,
"CHE","CPI","TOT","AGRWTH","M","1960-03",0.7207338,
"CHE","CPI","TOT","AGRWTH","M","1960-04",1.278959,
"CHE","CPI","TOT","AGRWTH","M","1960-05",1.609724,
"CHE","CPI","TOT","AGRWTH","M","1960-06",1.834393,
"CHE","CPI","TOT","AGRWTH","M","1960-07",2.11211,
"CHE","CPI","TOT","AGRWTH","M","1960-08",1.995848,
"CHE","CPI","TOT","AGRWTH","M","1960-09",1.931105,
"CHE","CPI","TOT","AGRWTH","M","1960-10",1.927955,
"CHE","CPI","TOT","AGRWTH","M","1960-11",1.81726,
"CHE","CPI","TOT","AGRWTH","M","1960-12",1.763918,
"CHE","CPI","TOT","AGRWTH","M","1961-01",1.768787,
"CHE","CPI","TOT","AGRWTH","M","1961-02",1.319118,
"CHE","CPI","TOT","AGRWTH","M","1961-03",1.319118,
"CHE","CPI","TOT","AGRWTH","M","1961-04",1.15096,
"CHE","CPI","TOT","AGRWTH","M","1961-05",1.476452,
"CHE","CPI","TOT","AGRWTH","M","1961-06",1.528635,
"CHE","CPI","TOT","AGRWTH","M","1961-07",1.470799,
"CHE","CPI","TOT","AGRWTH","M","1961-08",1.735404,
"CHE","CPI","TOT","AGRWTH","M","1961-09",1.623874,
"CHE","CPI","TOT","AGRWTH","M","1961-10",1.895044,
"CHE","CPI","TOT","AGRWTH","M","1961-11",3.299438,
"CHE","CPI","TOT","AGRWTH","M","1961-12",3.520074,
"CHE","CPI","TOT","AGRWTH","M","1962-01",3.907923,
"CHE","CPI","TOT","AGRWTH","M","1962-02",4.126984,
"CHE","CPI","TOT","AGRWTH","M","1962-03",4.287498,
"CHE","CPI","TOT","AGRWTH","M","1962-04",4.776173,
"CHE","CPI","TOT","AGRWTH","M","1962-05",4.79326,
"CHE","CPI","TOT","AGRWTH","M","1962-06",4.891497,
"CHE","CPI","TOT","AGRWTH","M","1962-07",4.986775,
"CHE","CPI","TOT","AGRWTH","M","1962-08",4.913833,
"CHE","CPI","TOT","AGRWTH","M","1962-09",4.68865,
"CHE","CPI","TOT","AGRWTH","M","1962-10",4.089466,
"CHE","CPI","TOT","AGRWTH","M","1962-11",3.142424,
"CHE","CPI","TOT","AGRWTH","M","1962-12",3.242221,
"CHE","CPI","TOT","AGRWTH","M","1963-01",3.451829,
"CHE","CPI","TOT","AGRWTH","M","1963-02",3.802412,
"CHE","CPI","TOT","AGRWTH","M","1963-03",3.642645,
"CHE","CPI","TOT","AGRWTH","M","1963-04",3.315858,
"CHE","CPI","TOT","AGRWTH","M","1963-05",3.134923,
"CHE","CPI","TOT","AGRWTH","M","1963-06",3.126895,
"CHE","CPI","TOT","AGRWTH","M","1963-07",3.016561,
"CHE","CPI","TOT","AGRWTH","M","1963-08",2.900539,
"CHE","CPI","TOT","AGRWTH","M","1963-09",3.260251,
"CHE","CPI","TOT","AGRWTH","M","1963-10",3.821528,
"CHE","CPI","TOT","AGRWTH","M","1963-11",3.961024,
"CHE","CPI","TOT","AGRWTH","M","1963-12",3.84974,
"CHE","CPI","TOT","AGRWTH","M","1964-01",3.632138,
"CHE","CPI","TOT","AGRWTH","M","1964-02",3.161508,
"CHE","CPI","TOT","AGRWTH","M","1964-03",3.211009,
"CHE","CPI","TOT","AGRWTH","M","1964-04",3.706999,
"CHE","CPI","TOT","AGRWTH","M","1964-05",3.635768,
"CHE","CPI","TOT","AGRWTH","M","1964-06",3.231393,
"CHE","CPI","TOT","AGRWTH","M","1964-07",3.074967,
"CHE","CPI","TOT","AGRWTH","M","1964-08",3.017101,
"CHE","CPI","TOT","AGRWTH","M","1964-09",2.910953,
"CHE","CPI","TOT","AGRWTH","M","1964-10",2.799393,
"CHE","CPI","TOT","AGRWTH","M","1964-11",2.29505,
"CHE","CPI","TOT","AGRWTH","M","1964-12",2.340944,
"CHE","CPI","TOT","AGRWTH","M","1965-01",2.338694,
"CHE","CPI","TOT","AGRWTH","M","1965-02",2.53039,
"CHE","CPI","TOT","AGRWTH","M","1965-03",2.532374,
"CHE","CPI","TOT","AGRWTH","M","1965-04",2.224129,
"CHE","CPI","TOT","AGRWTH","M","1965-05",2.790771,
"CHE","CPI","TOT","AGRWTH","M","1965-06",3.320146,
"CHE","CPI","TOT","AGRWTH","M","1965-07",3.559,
"CHE","CPI","TOT","AGRWTH","M","1965-08",3.888153,
"CHE","CPI","TOT","AGRWTH","M","1965-09",3.975179,
"CHE","CPI","TOT","AGRWTH","M","1965-10",4.014071,
"CHE","CPI","TOT","AGRWTH","M","1965-11",4.819731,
"CHE","CPI","TOT","AGRWTH","M","1965-12",4.910071,
"CHE","CPI","TOT","AGRWTH","M","1966-01",5.381292,
"CHE","CPI","TOT","AGRWTH","M","1966-02",5.313407,
"CHE","CPI","TOT","AGRWTH","M","1966-03",5.407428,
"CHE","CPI","TOT","AGRWTH","M","1966-04",5.200012,
"CHE","CPI","TOT","AGRWTH","M","1966-05",5.374658,
"CHE","CPI","TOT","AGRWTH","M","1966-06",4.849283,
"CHE","CPI","TOT","AGRWTH","M","1966-07",4.557813,
"CHE","CPI","TOT","AGRWTH","M","1966-08",4.29856,
"CHE","CPI","TOT","AGRWTH","M","1966-09",4.101912,
"CHE","CPI","TOT","AGRWTH","M","1966-10",3.995048,
"CHE","CPI","TOT","AGRWTH","M","1966-11",4.3257,
"CHE","CPI","TOT","AGRWTH","M","1966-12",4.587677,
"CHE","CPI","TOT","AGRWTH","M","1967-01",4.340076,
"CHE","CPI","TOT","AGRWTH","M","1967-02",3.83362,
"CHE","CPI","TOT","AGRWTH","M","1967-03",3.68924,
"CHE","CPI","TOT","AGRWTH","M","1967-04",3.640017,
"CHE","CPI","TOT","AGRWTH","M","1967-05",3.466488,
"CHE","CPI","TOT","AGRWTH","M","1967-06",4.306541,
"CHE","CPI","TOT","AGRWTH","M","1967-07",4.674672,
"CHE","CPI","TOT","AGRWTH","M","1967-08",4.753444,
"CHE","CPI","TOT","AGRWTH","M","1967-09",4.260396,
"CHE","CPI","TOT","AGRWTH","M","1967-10",3.928685,
"CHE","CPI","TOT","AGRWTH","M","1967-11",3.6901,
"CHE","CPI","TOT","AGRWTH","M","1967-12",3.489733,
"CHE","CPI","TOT","AGRWTH","M","1968-01",3.370914,
"CHE","CPI","TOT","AGRWTH","M","1968-02",3.791943,
"CHE","CPI","TOT","AGRWTH","M","1968-03",3.398197,
"CHE","CPI","TOT","AGRWTH","M","1968-04",3.21284,
"CHE","CPI","TOT","AGRWTH","M","1968-05",2.394315,
"CHE","CPI","TOT","AGRWTH","M","1968-06",1.795468,
"CHE","CPI","TOT","AGRWTH","M","1968-07",1.342563,
"CHE","CPI","TOT","AGRWTH","M","1968-08",1.240095,
"CHE","CPI","TOT","AGRWTH","M","1968-09",1.724956,
"CHE","CPI","TOT","AGRWTH","M","1968-10",2.207197,
"CHE","CPI","TOT","AGRWTH","M","1968-11",2.186186,
"CHE","CPI","TOT","AGRWTH","M","1968-12",2.179972,
"CHE","CPI","TOT","AGRWTH","M","1969-01",2.269472,
"CHE","CPI","TOT","AGRWTH","M","1969-02",2.265167,
"CHE","CPI","TOT","AGRWTH","M","1969-03",2.464196,
"CHE","CPI","TOT","AGRWTH","M","1969-04",2.372601,
"CHE","CPI","TOT","AGRWTH","M","1969-05",2.553156,
"CHE","CPI","TOT","AGRWTH","M","1969-06",2.930494,
"CHE","CPI","TOT","AGRWTH","M","1969-07",3.026881,
"CHE","CPI","TOT","AGRWTH","M","1969-08",2.54868,
"CHE","CPI","TOT","AGRWTH","M","1969-09",2.543559,
"CHE","CPI","TOT","AGRWTH","M","1969-10",2.348149,
"CHE","CPI","TOT","AGRWTH","M","1969-11",2.234198,
"CHE","CPI","TOT","AGRWTH","M","1969-12",2.319803,
"CHE","CPI","TOT","AGRWTH","M","1970-01",2.313369,
"CHE","CPI","TOT","AGRWTH","M","1970-02",2.123599,
"CHE","CPI","TOT","AGRWTH","M","1970-03",2.499192,
"CHE","CPI","TOT","AGRWTH","M","1970-04",2.592813,
"CHE","CPI","TOT","AGRWTH","M","1970-05",3.136834,
